"TOA5","23537","CR1000X","23537","CR1000X.Std.05.01","CPU:9958303_PGIA_11_03_2022.cr1x","57965","T_5min2"
"TIMESTAMP","RECORD","DwPt_C","WtBb_C","HI_C","WC_C","SVP_2","WR_km_Tot","Raintex_mm__Tot","Rainhobo_mm_Tot","AirT_C_H2S3","Slr_MJ_Tot","Slr2_Wms","Slr2_MJ_Tot","Slr3_10m_wms","Rain10m_mm_Tot","BP_mbar_10m","RH_10m","Slr_10m_MJ_Tot"
"TS","RN","Deg C","Deg C","Deg C","Deg C","mbar","kilometers","mm","mm","Deg C","MJ/m^2","W/m^2","MJ/m^2","W/m^2","mm","mbar","%","MJ/m^2"
"","","Smp","Smp","Smp","Smp","Smp","Tot","Tot","Tot","Smp","Tot","Smp","Tot","Smp","Tot","Smp","Smp","Tot"
"2023-02-06 03:15:00",92027,17.94,17.94,17.94,17.94,20.56,0,0,0,19.62,0,0.001,6.697948E-09,0,0,1017.501,0.959,0
"2023-02-06 03:20:00",92028,17.89,17.89,17.89,17.89,20.49,0,0,0,19.47,0,0,7.697169E-09,0,0,1017.501,0.966,0
"2023-02-06 03:25:00",92029,17.89,17.89,17.89,17.89,20.49,0,0,0,19.54,0,0,1.533235E-08,0,0,1017.501,0.96,0
"2023-02-06 03:30:00",92030,17.88,17.88,17.88,17.88,20.47,0,0,0,19.48,0,0,9.352814E-09,0,0,1017.601,0.959,0
"2023-02-06 03:35:00",92031,17.91,17.91,17.91,17.91,20.51,0,0,0,19.55,0,0.002,1.766264E-08,0,0,1017.601,0.962,0
"2023-02-06 03:40:00",92032,17.97,17.97,17.97,17.97,20.59,0,0,0,19.55,0,0,2.089249E-08,0,0,1017.601,0.961,0
"2023-02-06 03:45:00",92033,17.97,17.97,17.97,17.97,20.59,0,0,0,19.54,0,0,8.647765E-09,0,0,1017.601,0.963,0
"2023-02-06 03:50:00",92034,17.95,17.95,17.95,17.95,20.57,0,0,0,19.51,0,0.001,1.179616E-08,0,0,1017.601,0.964,0
"2023-02-06 03:55:00",92035,17.97,17.97,17.97,17.97,20.59,0,0,0,19.54,0,0,8.091019E-09,0,0,1017.601,0.963,0
"2023-02-06 04:00:00",92036,18,18,18,18,20.62,0,0,0,19.56,0,0,7.269276E-09,0,0,1017.601,0.966,0
"2023-02-06 04:05:00",92037,18.01,18.01,18.01,18.01,20.64,0,0,0,19.54,0,0,1.157614E-08,0,0,1017.601,0.963,0
"2023-02-06 04:10:00",92038,18.02,18.02,18.02,18.02,20.65,0,0,0,19.61,0,0,8.233243E-09,0,0,1017.601,0.965,0
"2023-02-06 04:15:00",92039,18.07,18.07,18.07,18.07,20.71,0,0.1,0,19.7,0,0,1.505031E-08,0,0,1017.601,0.964,0
"2023-02-06 04:20:00",92040,18.11,18.11,18.11,18.11,20.77,0,0,0,19.71,0,0,1.023533E-08,0,0,1017.601,0.963,0
"2023-02-06 04:25:00",92041,18.15,18.15,18.15,18.15,20.82,0,0,0,19.77,0,0.001,4.876977E-09,0,0,1017.601,0.962,0
